D
   1.      2.00     1     0
   .800000   .800000
   501    .020
   9.6600000   -.1035197   -.1035197
   9.6800000   -.1033058   -.1033058
   9.7000000   -.1030928   -.1030928
   9.7200000   -.1028807   -.1028807
   9.7400000   -.1026694   -.1026694
   9.7600000   -.1024590   -.1024590
   9.7800000   -.1022495   -.1022495
   9.8000000   -.1020408   -.1020408
   9.8200000   -.1018330   -.1018330
   9.8400000   -.1016260   -.1016260
   9.8600000   -.1014199   -.1014199
   9.8800000   -.1012146   -.1012146
   9.9000000   -.1010101   -.1010101
   9.9200000   -.1008065   -.1008065
   9.9400000   -.1006036   -.1006036
   9.9600000   -.1004016   -.1004016
   9.9800000   -.1002004   -.1002004
  10.0000000   -.1000000   -.1000000
    .0062500    .0079847    .0000000
    .0200000    .0255475    .0000003
    .0400000    .0510660    .0000012
    .0600000    .0765256    .0000028
    .0800000    .1018962    .0000049
    .1000000    .1271474    .0000076
    .1200000    .1522480    .0000110
    .1400000    .1771663    .0000149
    .1600000    .2018699    .0000195
    .1800000    .2263257    .0000246
    .2000000    .2505000    .0000304
    .2200000    .2743582    .0000367
    .2400000    .2978652    .0000436
    .2600000    .3209855    .0000511
    .2800000    .3436827    .0000591
    .3000000    .3659205    .0000677
    .3200000    .3876623    .0000769
    .3400000    .4088715    .0000866
    .3600000    .4295119    .0000968
    .3800000    .4495478    .0001076
    .4000000    .4689444    .0001188
    .4200000    .4876681    .0001306
    .4400000    .5056868    .0001428
    .4600000    .5229706    .0001555
    .4800000    .5394916    .0001686
    .5000000    .5552251    .0001822
    .5200000    .5701491    .0001962
    .5400000    .5842456    .0002106
    .5600000    .5975002    .0002254
    .5800000    .6099032    .0002406
    .6000000    .6214489    .0002562
    .6200000    .6321370    .0002721
    .6400000    .6419718    .0002883
    .6600000    .6509629    .0003048
    .6800000    .6591247    .0003217
    .7000000    .6664768    .0003389
    .7200000    .6730435    .0003563
    .7400000    .6788536    .0003740
    .7600000    .6839398    .0003920
    .7800000    .6883385    .0004103
    .8000000    .6920893    .0004288
    .8200000    .6952337    .0004475
    .8400000    .6978154    .0004665
    .8600000    .6998785    .0004858
    .8800000    .7014677    .0005053
    .9000000    .7026270    .0005250
    .9200000    .7033991    .0005450
    .9400000    .7038249    .0005652
    .9600000    .7039428    .0005857
    .9800000    .7037883    .0006064
   1.0000000    .7033938    .0006274
   1.0200000    .7027877    .0006487
   1.0400000    .7019952    .0006702
   1.0600000    .7010374    .0006919
   1.0800000    .6999321    .0007140
   1.1000000    .6986937    .0007363
   1.1200000    .6973331    .0007588
   1.1400000    .6958586    .0007816
   1.1600000    .6942763    .0008047
   1.1800000    .6925899    .0008281
   1.2000000    .6908017    .0008518
   1.2200000    .6889128    .0008757
   1.2400000    .6869234    .0008999
   1.2600000    .6848332    .0009243
   1.2800000    .6826418    .0009490
   1.3000000    .6803488    .0009740
   1.3200000    .6779539    .0009993
   1.3400000    .6754572    .0010248
   1.3600000    .6728593    .0010506
   1.3800000    .6701613    .0010767
   1.4000000    .6673646    .0011031
   1.4200000    .6644711    .0011297
   1.4400000    .6614832    .0011566
   1.4600000    .6584036    .0011838
   1.4800000    .6552352    .0012112
   1.5000000    .6519814    .0012390
   1.5200000    .6486454    .0012670
   1.5400000    .6452308    .0012953
   1.5600000    .6417411    .0013238
   1.5800000    .6381799    .0013527
   1.6000000    .6345508    .0013819
   1.6200000    .6308573    .0014113
   1.6400000    .6271028    .0014410
   1.6600000    .6232908    .0014711
   1.6800000    .6194247    .0015014
   1.7000000    .6155075    .0015320
   1.7200000    .6115424    .0015629
   1.7400000    .6075325    .0015942
   1.7600000    .6034806    .0016257
   1.7800000    .5993897    .0016576
   1.8000000    .5952624    .0016898
   1.8200000    .5911014    .0017223
   1.8400000    .5869093    .0017551
   1.8600000    .5826885    .0017883
   1.8800000    .5784413    .0018218
   1.9000000    .5741702    .0018556
   1.9200000    .5698773    .0018898
   1.9400000    .5655647    .0019243
   1.9600000    .5612346    .0019592
   1.9800000    .5568888    .0019944
   2.0000000    .5525294    .0020300
   2.0200000    .5481581    .0020659
   2.0400000    .5437768    .0021022
   2.0600000    .5393872    .0021389
   2.0800000    .5349909    .0021760
   2.1000000    .5305895    .0022134
   2.1200000    .5261846    .0022512
   2.1400000    .5217777    .0022895
   2.1600000    .5173701    .0023281
   2.1800000    .5129633    .0023671
   2.2000000    .5085586    .0024065
   2.2200000    .5041572    .0024464
   2.2400000    .4997603    .0024866
   2.2600000    .4953692    .0025273
   2.2800000    .4909850    .0025684
   2.3000000    .4866087    .0026100
   2.3200000    .4822415    .0026520
   2.3400000    .4778842    .0026944
   2.3600000    .4735380    .0027373
   2.3800000    .4692036    .0027807
   2.4000000    .4648820    .0028245
   2.4200000    .4605740    .0028688
   2.4400000    .4562805    .0029136
   2.4600000    .4520022    .0029589
   2.4800000    .4477399    .0030046
   2.5000000    .4434942    .0030509
   2.5200000    .4392660    .0030977
   2.5400000    .4350557    .0031450
   2.5600000    .4308641    .0031928
   2.5800000    .4266918    .0032412
   2.6000000    .4225392    .0032901
   2.6200000    .4184071    .0033395
   2.6400000    .4142958    .0033895
   2.6600000    .4102058    .0034401
   2.6800000    .4061377    .0034912
   2.7000000    .4020919    .0035430
   2.7200000    .3980687    .0035953
   2.7400000    .3940687    .0036482
   2.7600000    .3900921    .0037017
   2.7800000    .3861393    .0037558
   2.8000000    .3822108    .0038106
   2.8200000    .3783067    .0038659
   2.8400000    .3744273    .0039220
   2.8600000    .3705731    .0039786
   2.8800000    .3667442    .0040360
   2.9000000    .3629408    .0040940
   2.9200000    .3591633    .0041527
   2.9400000    .3554117    .0042121
   2.9600000    .3516864    .0042721
   2.9800000    .3479875    .0043329
   3.0000000    .3443152    .0043944
   3.0200000    .3406695    .0044567
   3.0400000    .3370508    .0045197
   3.0600000    .3334590    .0045834
   3.0800000    .3298944    .0046479
   3.1000000    .3263570    .0047132
   3.1200000    .3228469    .0047793
   3.1400000    .3193641    .0048461
   3.1600000    .3159089    .0049138
   3.1800000    .3124811    .0049823
   3.2000000    .3090810    .0050516
   3.2200000    .3057084    .0051218
   3.2400000    .3023635    .0051928
   3.2600000    .2990462    .0052647
   3.2800000    .2957566    .0053375
   3.3000000    .2924947    .0054112
   3.3200000    .2892604    .0054858
   3.3400000    .2860538    .0055613
   3.3600000    .2828749    .0056378
   3.3800000    .2797235    .0057152
   3.4000000    .2765997    .0057935
   3.4200000    .2735035    .0058729
   3.4400000    .2704347    .0059532
   3.4600000    .2673934    .0060346
   3.4800000    .2643794    .0061169
   3.5000000    .2613927    .0062003
   3.5200000    .2584333    .0062848
   3.5400000    .2555009    .0063703
   3.5600000    .2525957    .0064569
   3.5800000    .2497174    .0065446
   3.6000000    .2468660    .0066334
   3.6200000    .2440414    .0067233
   3.6400000    .2412434    .0068144
   3.6600000    .2384720    .0069067
   3.6800000    .2357271    .0070001
   3.7000000    .2330085    .0070947
   3.7200000    .2303162    .0071905
   3.7400000    .2276499    .0072876
   3.7600000    .2250096    .0073859
   3.7800000    .2223952    .0074855
   3.8000000    .2198065    .0075863
   3.8200000    .2172434    .0076885
   3.8400000    .2147057    .0077920
   3.8600000    .2121934    .0078968
   3.8800000    .2097061    .0080030
   3.9000000    .2072439    .0081106
   3.9200000    .2048066    .0082195
   3.9400000    .2023940    .0083299
   3.9600000    .2000060    .0084418
   3.9800000    .1976423    .0085551
   4.0000000    .1953030    .0086698
   4.0200000    .1929877    .0087861
   4.0400000    .1906964    .0089039
   4.0600000    .1884288    .0090232
   4.0800000    .1861849    .0091442
   4.1000000    .1839644    .0092667
   4.1200000    .1817672    .0093908
   4.1400000    .1795932    .0095166
   4.1600000    .1774421    .0096440
   4.1800000    .1753138    .0097731
   4.2000000    .1732081    .0099039
   4.2200000    .1711249    .0100364
   4.2400000    .1690639    .0101707
   4.2600000    .1670251    .0103068
   4.2800000    .1650083    .0104447
   4.3000000    .1630132    .0105845
   4.3200000    .1610397    .0107261
   4.3400000    .1590876    .0108695
   4.3600000    .1571568    .0110149
   4.3800000    .1552471    .0111623
   4.4000000    .1533583    .0113116
   4.4200000    .1514902    .0114629
   4.4400000    .1496427    .0116162
   4.4600000    .1478156    .0117716
   4.4800000    .1460087    .0119290
   4.5000000    .1442218    .0120886
   4.5200000    .1424549    .0122503
   4.5400000    .1407076    .0124142
   4.5600000    .1389798    .0125803
   4.5800000    .1372715    .0127487
   4.6000000    .1355823    .0129193
   4.6200000    .1339121    .0130922
   4.6400000    .1322607    .0132674
   4.6600000    .1306280    .0134450
   4.6800000    .1290139    .0136250
   4.7000000    .1274180    .0138075
   4.7200000    .1258404    .0139924
   4.7400000    .1242807    .0141798
   4.7600000    .1227388    .0143697
   4.7800000    .1212146    .0145623
   4.8000000    .1197079    .0147574
   4.8200000    .1182185    .0149552
   4.8400000    .1167463    .0151557
   4.8600000    .1152911    .0153588
   4.8800000    .1138527    .0155648
   4.9000000    .1124310    .0157736
   4.9200000    .1110257    .0159852
   4.9400000    .1096368    .0161996
   4.9600000    .1082641    .0164170
   4.9800000    .1069075    .0166374
   5.0000000    .1055667    .0168608
   5.0200000    .1042416    .0170872
   5.0400000    .1029320    .0173167
   5.0600000    .1016378    .0175494
   5.0800000    .1003589    .0177852
   5.1000000    .0990950    .0180242
   5.1200000    .0978461    .0182665
   5.1400000    .0966120    .0185122
