H
   1.      1.00     1     0
  0.420005  0.420005
   501   0.020
   7.7800000  -0.1285347  -0.1285347
   7.8000000  -0.1282052  -0.1282052
   7.8200000  -0.1278773  -0.1278773
   7.8400000  -0.1275511  -0.1275511
   7.8600000  -0.1272265  -0.1272265
   7.8800000  -0.1269036  -0.1269036
   7.9000000  -0.1265823  -0.1265823
   7.9200000  -0.1262627  -0.1262627
   7.9400000  -0.1259446  -0.1259446
   7.9600000  -0.1256282  -0.1256282
   7.9800000  -0.1253133  -0.1253133
   8.0000000  -0.1250000  -0.1250000
   8.0200000  -0.1246883  -0.1246883
   8.0400000  -0.1243781  -0.1243781
   8.0600000  -0.1240695  -0.1240695
   8.0800000  -0.1237624  -0.1237624
   8.1000000  -0.1234568  -0.1234568
   8.1200000  -0.1231527  -0.1231527
   8.1400000  -0.1228502  -0.1228502
   8.1600000  -0.1225491  -0.1225491
   8.1800000  -0.1222494  -0.1222494
   8.2000000  -0.1219513  -0.1219513
   8.2200000  -0.1216545  -0.1216545
   8.2400000  -0.1213593  -0.1213593
   8.2600000  -0.1210654  -0.1210654
   8.2800000  -0.1207730  -0.1207730
   8.3000000  -0.1204820  -0.1204820
   8.3200000  -0.1201923  -0.1201923
   8.3400000  -0.1199041  -0.1199041
   8.3600000  -0.1196173  -0.1196173
   8.3800000  -0.1193318  -0.1193318
   8.4000000  -0.1190477  -0.1190477
   8.4200000  -0.1187649  -0.1187649
   8.4400000  -0.1184834  -0.1184834
   8.4600000  -0.1182033  -0.1182033
   8.4800000  -0.1179246  -0.1179246
   8.5000000  -0.1176471  -0.1176471
   8.5200000  -0.1173709  -0.1173709
   8.5400000  -0.1170961  -0.1170961
   8.5600000  -0.1168225  -0.1168225
   8.5800000  -0.1165502  -0.1165502
   8.6000000  -0.1162791  -0.1162791
   8.6200000  -0.1160093  -0.1160093
   8.6400000  -0.1157408  -0.1157408
   8.6600000  -0.1154735  -0.1154735
   8.6800000  -0.1152074  -0.1152074
   8.7000000  -0.1149426  -0.1149426
   8.7200000  -0.1146789  -0.1146789
   8.7400000  -0.1144165  -0.1144165
   8.7600000  -0.1141553  -0.1141553
   8.7800000  -0.1138953  -0.1138953
   8.8000000  -0.1136364  -0.1136364
   8.8200000  -0.1133787  -0.1133787
   8.8400000  -0.1131222  -0.1131222
   8.8600000  -0.1128668  -0.1128668
   8.8800000  -0.1126126  -0.1126126
   8.9000000  -0.1123596  -0.1123596
   8.9200000  -0.1121077  -0.1121077
   8.9400000  -0.1118569  -0.1118569
   8.9600000  -0.1116072  -0.1116072
   8.9800000  -0.1113586  -0.1113586
   9.0000000  -0.1111111  -0.1111111
   9.0200000  -0.1108648  -0.1108648
   9.0400000  -0.1106195  -0.1106195
   9.0600000  -0.1103753  -0.1103753
   9.0800000  -0.1101322  -0.1101322
   9.1000000  -0.1098901  -0.1098901
   9.1200000  -0.1096492  -0.1096492
   9.1400000  -0.1094092  -0.1094092
   9.1600000  -0.1091703  -0.1091703
   9.1800000  -0.1089325  -0.1089325
   9.2000000  -0.1086957  -0.1086957
   9.2200000  -0.1084599  -0.1084599
   9.2400000  -0.1082251  -0.1082251
   9.2600000  -0.1079914  -0.1079914
   9.2800000  -0.1077587  -0.1077587
   9.3000000  -0.1075269  -0.1075269
   9.3200000  -0.1072962  -0.1072962
   9.3400000  -0.1070664  -0.1070664
   9.3600000  -0.1068376  -0.1068376
   9.3800000  -0.1066098  -0.1066098
   9.4000000  -0.1063830  -0.1063830
   9.4200000  -0.1061571  -0.1061571
   9.4400000  -0.1059322  -0.1059322
   9.4600000  -0.1057083  -0.1057083
   9.4800000  -0.1054853  -0.1054853
   9.5000000  -0.1052632  -0.1052632
   9.5200000  -0.1050420  -0.1050420
   9.5400000  -0.1048218  -0.1048218
   9.5600000  -0.1046025  -0.1046025
   9.5800000  -0.1043842  -0.1043842
   9.6000000  -0.1041667  -0.1041667
   9.6200000  -0.1039501  -0.1039501
   9.6400000  -0.1037345  -0.1037345
   9.6600000  -0.1035197  -0.1035197
   9.6800000  -0.1033058  -0.1033058
   9.7000000  -0.1030928  -0.1030928
   9.7200000  -0.1028807  -0.1028807
   9.7400000  -0.1026694  -0.1026694
   9.7600000  -0.1024590  -0.1024590
   9.7800000  -0.1022495  -0.1022495
   9.8000000  -0.1020408  -0.1020408
   9.8200000  -0.1018330  -0.1018330
   9.8400000  -0.1016260  -0.1016260
   9.8600000  -0.1014199  -0.1014199
   9.8800000  -0.1012146  -0.1012146
   9.9000000  -0.1010101  -0.1010101
   9.9200000  -0.1008065  -0.1008065
   9.9400000  -0.1006036  -0.1006036
   9.9600000  -0.1004016  -0.1004016
   9.9800000  -0.1002004  -0.1002004
  10.0000000  -0.1000000  -0.1000000
   0.0062500   0.0095425   0.0000000
   0.0200000   0.0305267   0.0000003
   0.0400000   0.0609798   0.0000014
   0.0600000   0.0912821   0.0000030
   0.0800000   0.1213547   0.0000054
   0.1000000   0.1511157   0.0000084
   0.1200000   0.1804796   0.0000121
   0.1400000   0.2093575   0.0000164
   0.1600000   0.2376575   0.0000214
   0.1800000   0.2652855   0.0000270
   0.2000000   0.2921469   0.0000332
   0.2200000   0.3181483   0.0000400
   0.2400000   0.3432003   0.0000474
   0.2600000   0.3672204   0.0000554
   0.2800000   0.3901366   0.0000639
   0.3000000   0.4118904   0.0000729
   0.3200000   0.4324406   0.0000824
   0.3400000   0.4517657   0.0000924
   0.3600000   0.4698656   0.0001028
   0.3800000   0.4867626   0.0001137
   0.4000000   0.5025000   0.0001250
   0.4200000   0.5171400   0.0001367
   0.4400000   0.5307593   0.0001488
   0.4600000   0.5434446   0.0001613
   0.4800000   0.5552860   0.0001742
   0.5000000   0.5663719   0.0001875
   0.5200000   0.5767837   0.0002011
   0.5400000   0.5865914   0.0002150
   0.5600000   0.5958517   0.0002294
   0.5800000   0.6046073   0.0002441
   0.6000000   0.6128878   0.0002591
   0.6200000   0.6207119   0.0002745
   0.6400000   0.6280904   0.0002903
   0.6600000   0.6350293   0.0003063
   0.6800000   0.6415322   0.0003227
   0.7000000   0.6476030   0.0003395
   0.7200000   0.6532465   0.0003565
   0.7400000   0.6584698   0.0003739
   0.7600000   0.6632817   0.0003915
   0.7800000   0.6676927   0.0004095
   0.8000000   0.6717148   0.0004278
   0.8200000   0.6753604   0.0004463
   0.8400000   0.6786426   0.0004652
   0.8600000   0.6815744   0.0004843
   0.8800000   0.6841684   0.0005037
   0.9000000   0.6864375   0.0005234
   0.9200000   0.6883936   0.0005434
   0.9400000   0.6900487   0.0005637
   0.9600000   0.6914143   0.0005842
   0.9800000   0.6925015   0.0006050
   1.0000000   0.6933210   0.0006261
   1.0200000   0.6938832   0.0006474
   1.0400000   0.6941981   0.0006690
   1.0600000   0.6942754   0.0006909
   1.0800000   0.6941246   0.0007130
   1.1000000   0.6937547   0.0007354
   1.1200000   0.6931745   0.0007581
   1.1400000   0.6923924   0.0007810
   1.1600000   0.6914167   0.0008042
   1.1800000   0.6902554   0.0008277
   1.2000000   0.6889160   0.0008514
   1.2200000   0.6874060   0.0008754
   1.2400000   0.6857325   0.0008996
   1.2600000   0.6839026   0.0009241
   1.2800000   0.6819228   0.0009489
   1.3000000   0.6797996   0.0009739
   1.3200000   0.6775394   0.0009992
   1.3400000   0.6751481   0.0010248
   1.3600000   0.6726317   0.0010506
   1.3800000   0.6699957   0.0010767
